название;url;genre;подписки;просмотры;количество авторов
Space Boy;https://www.webtoons.com/en/sf/space-boy/list?title_no=400;Sci-fi;438513;76800000;1
The Last Dimension;https://www.webtoons.com/en/sf/the-last-dimension/list?title_no=3174;Sci-fi;121983;2300000;1
Housekeeper;https://www.webtoons.com/en/sf/housekeeper/list?title_no=3479;Sci-fi;118754;1800000;2
Room of Swords;https://www.webtoons.com/en/sf/room-of-swords/list?title_no=1261;Sci-fi;762993;69300000;1
Straylight Tiger;https://www.webtoons.com/en/sf/straylight-tiger/list?title_no=2807;Sci-fi;192723;3000000;1
Seed;https://www.webtoons.com/en/sf/seed/list?title_no=1480;Sci-fi;543964;27400000;1
Fluidum;https://www.webtoons.com/en/drama/fluidum/list?title_no=2283;Drama;202337;10600000;2
TACIT;https://www.webtoons.com/en/action/tacit/list?title_no=3178;Action;235322;4600000;1
Opposite of Always;https://www.webtoons.com/en/romance/opposite-of-always/list?title_no=2743;Romance;102845;1500000;4
It Was All You;https://www.webtoons.com/en/sf/it-was-all-you/list?title_no=2675;Sci-fi;279245;8000000;3
Miez;https://www.webtoons.com/en/sf/miez/list?title_no=2719;Sci-fi;96803;948850;1
Nexus Point;https://www.webtoons.com/en/sf/nexus-point/list?title_no=2965;Sci-fi;33445;331250;2
Harmonia;https://www.webtoons.com/en/sf/harmonia/list?title_no=3253;Sci-fi;71244;1000000;2
Hellbound;https://www.webtoons.com/en/thriller/hellbound/list?title_no=3598;Thriller;199345;2200000;2
Machine Uprising;https://www.webtoons.com/en/sf/machine-uprising/list?title_no=4152;Sci-fi;36551;537059;2
The Retreats;https://www.webtoons.com/en/action/the-retreats/list?title_no=3792;Action;40031;397197;2
Traveler;https://www.webtoons.com/en/super-hero/traveler/list?title_no=3205;Superhero;21742;181318;3
Always Human;https://www.webtoons.com/en/romance/always-human/list?title_no=557;Romance;670077;49800000;1
Eggnoid;https://www.webtoons.com/en/sf/eggnoid/list?title_no=1229;Sci-fi;1400000;205800000;1
The Sound of Another;https://www.webtoons.com/en/sf/the-sound-of-another/list?title_no=2955;Sci-fi;199877;3400000;2
If AI Ruled the World;https://www.webtoons.com/en/sf/if-ai-ruled-the-world/list?title_no=2605;Sci-fi;170988;4400000;2
Matchmaker Hero;https://www.webtoons.com/en/sf/matchmaker-hero/list?title_no=1569;Sci-fi;352567;10800000;1
Mosquito Wars;https://www.webtoons.com/en/sf/mosquito-wars/list?title_no=2404;Sci-fi;135973;5300000;1
My Daughter is a Zombie;https://www.webtoons.com/en/comedy/my-daughter-is-a-zombie/list?title_no=2190;Comedy;338236;20600000;1
The Fever King;https://www.webtoons.com/en/super-hero/the-fever-king/list?title_no=1659;Superhero;528610;24200000;2
BRAIN Anthology;https://www.webtoons.com/en/horror/brain-anthology/list?title_no=2207;Horror;142223;6200000;1
Pacific Rim: Amara;https://www.webtoons.com/en/sf/pacific-rim-amara/list?title_no=1327;Sci-fi;112194;1700000;2
Nano List;https://www.webtoons.com/en/sf/nano-list/list?title_no=700;Sci-fi;598353;56100000;1
Dents;https://www.webtoons.com/en/sf/dents/list?title_no=671;Sci-fi;255495;12400000;2
Moon You;https://www.webtoons.com/en/sf/moonyou/list?title_no=1340;Sci-fi;153059;7100000;1
Duty After School;https://www.webtoons.com/en/sf/duty-after-school/list?title_no=370;Sci-fi;130260;6200000;1
FLOWAR;https://www.webtoons.com/en/sf/flowar/list?title_no=2403;Sci-fi;85068;2000000;1
Bloodless Wars;https://www.webtoons.com/en/sf/bloodless-wars/list?title_no=1622;Sci-fi;137884;4300000;1
Aphrodite IX;https://www.webtoons.com/en/sf/aphroditeix/list?title_no=1451;Sci-fi;120798;2300000;2
Gepetto;https://www.webtoons.com/en/sf/gepetto/list?title_no=81;Sci-fi;168490;14700000;1
XINK3R;https://www.webtoons.com/en/super-hero/xinker/list?title_no=541;Superhero;122599;13000000;1
Falling in the Blue;https://www.webtoons.com/en/sf/falling-in-the-blue/list?title_no=2291;Sci-fi;86557;942697;1
2015: Space Series;https://www.webtoons.com/en/sf/2015-space-series/list?title_no=391;Sci-fi;58470;1100000;1
Guardians of the Video Game;https://www.webtoons.com/en/sf/guardians-of-the-video-game/list?title_no=368;Sci-fi;59124;6400000;1
Haxor;https://www.webtoons.com/en/sf/haxor/list?title_no=1325;Sci-fi;93280;1900000;1
Heartwired;https://www.webtoons.com/en/sf/heartwired/list?title_no=1539;Sci-fi;121941;2100000;2
Cyberbunk;https://www.webtoons.com/en/sf/cyberbunk/list?title_no=466;Sci-fi;46673;3100000;2
Ghost Bats;https://www.webtoons.com/en/sf/ghost-bats/list?title_no=2348;Sci-fi;59309;775622;1
Knight Run;https://www.webtoons.com/en/sf/knight-run/list?title_no=67;Sci-fi;92623;4700000;1
All That You Are;https://www.webtoons.com/en/drama/all-that-you-are/list?title_no=403;Drama;46766;1600000;1
Cyberforce;https://www.webtoons.com/en/super-hero/cyberforce/list?title_no=531;Superhero;39078;1700000;1
Fantasy Sketch - The Game;https://www.webtoons.com/en/sf/fantasy-sketch/list?title_no=1020;Sci-fi;52733;1600000;2
Denma;https://www.webtoons.com/en/sf/denma/list?title_no=921;Sci-fi;82817;25000000;1
Immortal Nerd;https://www.webtoons.com/en/slice-of-life/immortal-nerd/list?title_no=579;Slice of life;30334;3000000;1
R-X: RAYER HUNTER;https://www.webtoons.com/en/sf/r-x-rayer-hunter/list?title_no=3480;Sci-fi;87932;1000000;2
Parallel City;https://www.webtoons.com/en/mystery/parallelcity/list?title_no=2053;Mystery;415304;19600000;1
The Shadow Prophet;https://www.webtoons.com/en/drama/the-shadow-prophet/list?title_no=1881;Drama;90831;1800000;2
Outrage;https://www.webtoons.com/en/super-hero/outrage/list?title_no=1450;Superhero;227906;6100000;2
Everything is Fine;https://www.webtoons.com/en/horror/everything-is-fine/list?title_no=2578;Horror;1300000;72800000;1
Death: Rescheduled;https://www.webtoons.com/en/thriller/death-rescheduled/list?title_no=3515;Thriller;675888;17500000;1
Not Even Bones;https://www.webtoons.com/en/thriller/not-even-bones/list?title_no=1756;Thriller;1700000;115400000;3
I'm the Grim Reaper;https://www.webtoons.com/en/supernatural/im-the-grim-reaper/list?title_no=1697;Supernatural;1700000;122200000;1
Hand Jumper;https://www.webtoons.com/en/thriller/hand-jumper/list?title_no=2702;Thriller;297382;5400000;1
Half-Ghost;https://www.webtoons.com/en/romance/half-ghost/list?title_no=2765;Romance;297896;12500000;1
Rebirth;https://www.webtoons.com/en/sf/rebirth/list?title_no=1412;Sci-fi;1200000;104200000;1
Everfallen;https://www.webtoons.com/en/fantasy/everfallen/list?title_no=3762;Fantasy;91490;327163;1
Never-Ending Darling;https://www.webtoons.com/en/thriller/never-ending-darling/list?title_no=4212;Thriller;120574;1900000;1
Flawless;https://www.webtoons.com/en/romance/flawless/list?title_no=3264;Romance;297554;8700000;1
The Dummy's Dummy;https://www.webtoons.com/en/horror/the-dummys-dummy/list?title_no=2874;Horror;150896;3200000;1
SOULWINDER;https://www.webtoons.com/en/thriller/soulwinder/list?title_no=2880;Thriller;197369;1300000;2
Tales of the Unusual;https://www.webtoons.com/en/horror/tales-of-the-unusual/list?title_no=68;Horror;800499;155100000;1
Pyramid Game;https://www.webtoons.com/en/drama/pyramid-game/list?title_no=2277;Drama;230984;10300000;1
Chasing Tails;https://www.webtoons.com/en/mystery/chasing-tails/list?title_no=3440;Mystery;219764;6000000;1
The Eagle and the Snake;https://www.webtoons.com/en/action/the-eagle-and-the-snake/list?title_no=2819;Action;132503;2600000;1
Escape Room;https://www.webtoons.com/en/thriller/escape-room/list?title_no=1815;Thriller;448734;25400000;1
Seed;https://www.webtoons.com/en/sf/seed/list?title_no=1480;Sci-fi;543964;27400000;1
The Predator;https://www.webtoons.com/en/thriller/the-predator/list?title_no=3454;Thriller;172321;4000000;2
Disconnected from Reality;https://www.webtoons.com/en/thriller/disconnected-from-reality/list?title_no=4182;Thriller;103361;1600000;2
100;https://www.webtoons.com/en/action/hundred/list?title_no=3766;Action;117109;1700000;2
Nina's Magic Chest;https://www.webtoons.com/en/fantasy/ninas-magic-chest/list?title_no=4077;Fantasy;49277;1400000;1
Counting Sheep;https://www.webtoons.com/en/horror/counting-sheep/list?title_no=3795;Horror;60407;889145;1
Nonesuch;https://www.webtoons.com/en/mystery/nonesuch/list?title_no=3606;Mystery;36102;598825;1
Loser Coin;https://www.webtoons.com/en/drama/loser-coin/list?title_no=4177;Drama;79385;1300000;2
Eros Conquers All;https://www.webtoons.com/en/supernatural/eros-conquers-all/list?title_no=3312;Supernatural;170360;1800000;1
Money Game;https://www.webtoons.com/en/thriller/money-game/list?title_no=3254;Thriller;80212;2300000;1
Land of the Crimson Moon;https://www.webtoons.com/en/action/land-of-the-crimson-moon/list?title_no=4466;Action;60533;596030;2
Roach;https://www.webtoons.com/en/horror/roach/list?title_no=4084;Horror;56633;1000000;2
Coffin Jackson;https://www.webtoons.com/en/drama/coffin-jackson/list?title_no=4449;Drama;50331;548417;1
CODE HELIX;https://www.webtoons.com/en/drama/code-helix/list?title_no=3267;Drama;40947;1000000;2
Of What Remains;https://www.webtoons.com/en/thriller/of-what-remains/list?title_no=2720;Thriller;86268;1200000;1
Harmonia;https://www.webtoons.com/en/sf/harmonia/list?title_no=3253;Sci-fi;71244;1000000;2
Hellbound;https://www.webtoons.com/en/thriller/hellbound/list?title_no=3598;Thriller;199345;2200000;2
Horang's Nightmare;https://www.webtoons.com/en/horror/horang-horror/list?title_no=2185;Horror;684915;21700000;1
Night of Silence;https://www.webtoons.com/en/thriller/night-of-silence/list?title_no=3765;Thriller;70695;670968;2
Unknown Caller;https://www.webtoons.com/en/thriller/ar-toon/list?title_no=775;Thriller;518955;8800000;1
Shotgun Boy;https://www.webtoons.com/en/thriller/shotgun-boy/list?title_no=2534;Thriller;880954;39300000;2
Simon Sues;https://www.webtoons.com/en/supernatural/simon-sues/list?title_no=1619;Supernatural;156084;4800000;1
It's Mine;https://www.webtoons.com/en/thriller/its-mine/list?title_no=2010;Thriller;1200000;93000000;1
The Red Book;https://www.webtoons.com/en/horror/the-red-book/list?title_no=467;Horror;251248;16300000;1
Sweet Home;https://www.webtoons.com/en/thriller/sweethome/list?title_no=1285;Thriller;3100000;248500000;2
Fast Forward;https://www.webtoons.com/en/thriller/fast-forward/list?title_no=2764;Thriller;235070;6500000;2
All of Us Are Dead;https://www.webtoons.com/en/thriller/all-of-us-are-dead/list?title_no=2810;Thriller;459137;16500000;1
The Horizon;https://www.webtoons.com/en/drama/the-horizon/list?title_no=3141;Drama;204919;2800000;1
Bastard;https://www.webtoons.com/en/thriller/bastard/list?title_no=485;Thriller;1600000;142500000;2
My Deepest Secret;https://www.webtoons.com/en/thriller/my-deepest-secret/list?title_no=1580;Thriller;2500000;190700000;1
Have You Any Fear?;https://www.webtoons.com/en/horror/have-you-any-fear/list?title_no=1197;Horror;218515;4700000;1
Distant Sky;https://www.webtoons.com/en/horror/distant-sky/list?title_no=75;Horror;415773;23300000;2
PIGPEN;https://www.webtoons.com/en/thriller/pigpen/list?title_no=2275;Thriller;364214;15500000;2
The Vault of Horror: A Collection of Nightmares;https://www.webtoons.com/en/horror/the-vault-of-horror-a-collection-of-nightmares/list?title_no=295;Horror;226056;8700000;1
Melvina's Therapy;https://www.webtoons.com/en/horror/melvinas-therapy/list?title_no=1021;Horror;433158;27300000;1
Chiller;https://www.webtoons.com/en/thriller/chiller/list?title_no=536;Thriller;403174;26100000;1
Hell is Other People;https://www.webtoons.com/en/thriller/hell-is-other-people/list?title_no=3176;Thriller;159304;5500000;1
GremoryLand;https://www.webtoons.com/en/horror/gremoryland/list?title_no=1893;Horror;409237;22200000;1
Shriek;https://www.webtoons.com/en/thriller/shriek/list?title_no=772;Thriller;364148;28100000;1
Fake Humans;https://www.webtoons.com/en/thriller/fake-humans/list?title_no=3452;Thriller;124889;2000000;3
Tales of Greed;https://www.webtoons.com/en/thriller/tales-of-greed/list?title_no=2772;Thriller;201375;6000000;2
A Mark Against Thee;https://www.webtoons.com/en/drama/a-mark-against-thee/list?title_no=4119;Drama;55141;2600000;1
Elena;https://www.webtoons.com/en/horror/elena/list?title_no=484;Horror;111426;5700000;1
Ghost Teller;https://www.webtoons.com/en/horror/ghost-teller/list?title_no=1307;Horror;1000000;53200000;1
Happiness;https://www.webtoons.com/en/action/happiness/list?title_no=4120;Action;98232;2500000;3
Rotten;https://www.webtoons.com/en/thriller/rotten/list?title_no=2134;Thriller;421654;12800000;1
The Cliff;https://www.webtoons.com/en/thriller/the-cliff/list?title_no=80;Thriller;76487;2200000;1
Beetle Hands;https://www.webtoons.com/en/horror/beetle-hands/list?title_no=2247;Horror;132084;2700000;1
Catharsis;https://www.webtoons.com/en/fantasy/catharsis/list?title_no=396;Fantasy;636083;60900000;1
Dear X;https://www.webtoons.com/en/thriller/dearx/list?title_no=2503;Thriller;231729;6700000;1
Delusion;https://www.webtoons.com/en/thriller/delusion/list?title_no=2470;Thriller;255101;8800000;1
Forest of Humans;https://www.webtoons.com/en/thriller/forest-of-humans/list?title_no=2922;Thriller;119957;2800000;1
The Savior's Time;https://www.webtoons.com/en/thriller/the-saviors-time/list?title_no=2608;Thriller;129177;2500000;1
Witch Creek Road;https://www.webtoons.com/en/horror/witch-creek-road/list?title_no=1453;Horror;477851;21800000;2
Rot & Ruin;https://www.webtoons.com/en/horror/rot-and-ruin/list?title_no=1878;Horror;364166;13500000;6
Friday: Forbidden Tales;https://www.webtoons.com/en/thriller/friday/list?title_no=388;Thriller;176225;12900000;1
Bite Me;https://www.webtoons.com/en/thriller/bite-me/list?title_no=1019;Thriller;433752;35800000;1
See No Evil;https://www.webtoons.com/en/thriller/see-no-evil/list?title_no=2738;Thriller;156827;3300000;2
The Aftermath;https://www.webtoons.com/en/drama/the-aftermath/list?title_no=3344;Drama;65020;1000000;1
ANT;https://www.webtoons.com/en/thriller/ant/list?title_no=3482;Thriller;78396;1700000;1
Live Forever;https://www.webtoons.com/en/thriller/live-forever/list?title_no=1312;Thriller;259402;9300000;1
The Girl Who Sees Smells;https://www.webtoons.com/en/fantasy/the-girl-who-sees-smells/list?title_no=2559;Fantasy;154353;5400000;1
HIVE;https://www.webtoons.com/en/thriller/hive/list?title_no=65;Thriller;462404;66700000;1
DEAD DAYS;https://www.webtoons.com/en/horror/dead-days/list?title_no=293;Horror;220886;15500000;1
Grasp;https://www.webtoons.com/en/thriller/grasp/list?title_no=2854;Thriller;99635;2200000;1
DEEP;https://www.webtoons.com/en/thriller/deep/list?title_no=364;Thriller;128515;5100000;2
Epilogue;https://www.webtoons.com/en/thriller/epilogue/list?title_no=2610;Thriller;74642;1400000;1
Duty After School;https://www.webtoons.com/en/sf/duty-after-school/list?title_no=370;Sci-fi;130260;6200000;1
Arma;https://www.webtoons.com/en/super-hero/arma/list?title_no=1640;Superhero;261204;12200000;1
Ctrl+Z;https://www.webtoons.com/en/thriller/ctrlz/list?title_no=2141;Thriller;196932;9500000;1
S.I.D.;https://www.webtoons.com/en/supernatural/sid/list?title_no=497;Supernatural;292690;27300000;1
Subtle Disaster;https://www.webtoons.com/en/drama/subtle-disaster/list?title_no=350;Drama;48926;3400000;1
FINALITY;https://www.webtoons.com/en/mystery/finality/list?title_no=1457;Mystery;32251;332360;2
Varsity Noir;https://www.webtoons.com/en/mystery/varsity-noir/list?title_no=1613;Mystery;53019;1300000;1
Dr. Hound;https://www.webtoons.com/en/thriller/dr-hound/list?title_no=3266;Thriller;56321;1600000;2
Noise From Upstairs;https://www.webtoons.com/en/thriller/noise-from-upstairs/list?title_no=4216;Thriller;46535;927987;1
School Bus Graveyard;https://www.webtoons.com/en/thriller/school-bus-graveyard/list?title_no=2705;Thriller;1000000;44200000;1
Clinic of Horrors;https://www.webtoons.com/en/supernatural/clinic-of-horrors/list?title_no=3414;Supernatural;825395;65400000;2
Homesick;https://www.webtoons.com/en/thriller/homesick/list?title_no=2759;Thriller;1100000;60500000;1
Uriah;https://www.webtoons.com/en/horror/uriah/list?title_no=1607;Horror;419570;23200000;1
Shiloh;https://www.webtoons.com/en/thriller/shiloh/list?title_no=1649;Thriller;394470;14000000;2
#Killstagram;https://www.webtoons.com/en/thriller/killstagram/list?title_no=1971;Thriller;891592;40800000;1
Jackson's Diary;https://www.webtoons.com/en/supernatural/jacksons-diary/list?title_no=2446;Supernatural;824632;50800000;1
I'm the Grim Reaper;https://www.webtoons.com/en/supernatural/im-the-grim-reaper/list?title_no=1697;Supernatural;1700000;122200000;1
Nevermore;https://www.webtoons.com/en/supernatural/nevermore/list?title_no=2740;Supernatural;359667;6400000;2
Brimstone and Roses;https://www.webtoons.com/en/romance/brimstone-and-roses/list?title_no=1758;Romance;539564;34800000;1
Love Advice from the Great Duke of Hell;https://www.webtoons.com/en/comedy/love-advice/list?title_no=1498;Comedy;1300000;114600000;1
Keys;https://www.webtoons.com/en/action/keys/list?title_no=2742;Action;115449;463001;1
To Tame a Fire;https://www.webtoons.com/en/supernatural/to-tame-a-fire/list?title_no=3763;Supernatural;219067;1900000;1
Shingi: The Spirit's Playbook;https://www.webtoons.com/en/action/shingi-the-spirits-playbook/list?title_no=4569;Action;69640;619806;2
Covenant;https://www.webtoons.com/en/action/covenant/list?title_no=2011;Action;576282;16600000;1
Evelyne and the Occult;https://www.webtoons.com/en/supernatural/la-tenebrosa-evelyne/list?title_no=3182;Supernatural;350859;10400000;1
Stagtown;https://www.webtoons.com/en/horror/stagtown/list?title_no=2532;Horror;264839;10400000;1
Finding Fiends;https://www.webtoons.com/en/comedy/finding-fiends/list?title_no=2756;Comedy;111574;5300000;1
Devilish Romance;https://www.webtoons.com/en/supernatural/devilish-romance/list?title_no=2529;Supernatural;469484;17100000;2
Flawed Almighty;https://www.webtoons.com/en/supernatural/flawed-almighty/list?title_no=3577;Supernatural;216147;8100000;2
Re-Possessed;https://www.webtoons.com/en/action/re-possessed/list?title_no=3760;Action;55365;213605;2
Cloud Walker;https://www.webtoons.com/en/action/cloud-walker/list?title_no=2730;Action;237025;4400000;1
KILLMAX;https://www.webtoons.com/en/supernatural/killmax/list?title_no=1894;Supernatural;591883;12800000;2
The Most Ordinary Girl;https://www.webtoons.com/en/romance/the-most-ordinary-girl/list?title_no=4173;Romance;133054;2100000;1
Time and Time Again;https://www.webtoons.com/en/supernatural/time-and-time-again/list?title_no=3758;Supernatural;63718;898806;1
Betwixt;https://www.webtoons.com/en/mystery/betwixt/list?title_no=2962;Mystery;80989;873939;1
Spirit Hunter;https://www.webtoons.com/en/supernatural/spirit-hunter/list?title_no=3185;Supernatural;136905;2800000;3
Eros Conquers All;https://www.webtoons.com/en/supernatural/eros-conquers-all/list?title_no=3312;Supernatural;170360;1800000;1
BlackSmith;https://www.webtoons.com/en/supernatural/blacksmith/list?title_no=3341;Supernatural;78057;1500000;1
Do You Remember;https://www.webtoons.com/en/mystery/do-you-remember/list?title_no=2882;Mystery;42725;685102;1
Blue;https://www.webtoons.com/en/drama/blue/list?title_no=3477;Drama;124219;823795;1
Freaking Romance;https://www.webtoons.com/en/romance/freaking-romance/list?title_no=1467;Romance;3300000;277400000;1
Simon Sues;https://www.webtoons.com/en/supernatural/simon-sues/list?title_no=1619;Supernatural;156084;4800000;1
Unholy Blood;https://www.webtoons.com/en/supernatural/unholy-blood/list?title_no=1262;Supernatural;1800000;120600000;2
Muted;https://www.webtoons.com/en/supernatural/muted/list?title_no=1566;Supernatural;780028;59400000;1
Jumping Over;https://www.webtoons.com/en/romance/jumping-over/list?title_no=3238;Romance;71035;3200000;2
Swimming Lessons for a Mermaid;https://www.webtoons.com/en/romance/swimming-lessons-for-a-mermaid/list?title_no=1912;Romance;764844;53700000;1
Devil Number 4;https://www.webtoons.com/en/supernatural/devil-no-4/list?title_no=1695;Supernatural;1800000;136300000;2
Ghost Wife;https://www.webtoons.com/en/romance/ghost-wife/list?title_no=1471;Romance;1300000;138000000;1
Dark Mortal;https://www.webtoons.com/en/drama/dark-mortal/list?title_no=2505;Drama;229024;10300000;1
UndeadEd;https://www.webtoons.com/en/supernatural/undeaded/list?title_no=468;Supernatural;130507;27200000;1
Dating With a Tail;https://www.webtoons.com/en/romance/dating-with-a-tail/list?title_no=1263;Romance;551129;23200000;2
Floating in My Mind;https://www.webtoons.com/en/supernatural/floating-in-my-mind/list?title_no=3485;Supernatural;143892;3100000;1
My Boo;https://www.webtoons.com/en/supernatural/my-boo/list?title_no=1185;Supernatural;892058;46700000;1
The Sound of Magic: Annarasumanara;https://www.webtoons.com/en/drama/the-sound-of-magic-annarasumanara/list?title_no=77;Drama;370261;13300000;1
Mystical;https://www.webtoons.com/en/supernatural/mystical/list?title_no=2128;Supernatural;633862;27100000;1
Ghost Theater;https://www.webtoons.com/en/drama/ghost-theater/list?title_no=1911;Drama;399965;15800000;1
My Universe;https://www.webtoons.com/en/romance/my-universe/list?title_no=3113;Romance;287508;8000000;2
Rise from Ashes;https://www.webtoons.com/en/supernatural/rise-from-ashes/list?title_no=959;Supernatural;758999;51500000;1
Sword Interval;https://www.webtoons.com/en/supernatural/sword-interval/list?title_no=486;Supernatural;146642;23300000;1
Fluffy Boyfriend;https://www.webtoons.com/en/supernatural/fluffy-boyfriend/list?title_no=1164;Supernatural;1400000;93000000;1
Soul on Hold;https://www.webtoons.com/en/supernatural/soul-on-hold/list?title_no=1701;Supernatural;268486;10400000;1
Apocalyptic Horseplay;https://www.webtoons.com/en/supernatural/apocalyptic-horseplay/list?title_no=635;Supernatural;144823;16000000;1
This Magical Moment;https://www.webtoons.com/en/supernatural/this-magical-moment/list?title_no=2563;Supernatural;153711;4000000;1
unTouchable;https://www.webtoons.com/en/romance/untouchable/list?title_no=79;Romance;1300000;171900000;1
Bite Me;https://www.webtoons.com/en/thriller/bite-me/list?title_no=1019;Thriller;433751;35800000;1
Live Forever;https://www.webtoons.com/en/thriller/live-forever/list?title_no=1312;Thriller;259402;9300000;1
The World Where I Belong;https://www.webtoons.com/en/supernatural/the-world-where-i-belong/list?title_no=1318;Supernatural;327293;9000000;1
UnderPrin;https://www.webtoons.com/en/supernatural/underprin/list?title_no=78;Supernatural;600730;62700000;1
Shard;https://www.webtoons.com/en/supernatural/shard/list?title_no=960;Supernatural;207594;13000000;1
Wolfsbane;https://www.webtoons.com/en/horror/wolfsbane/list?title_no=1826;Horror;70839;1300000;2
11 of Me;https://www.webtoons.com/en/supernatural/11-of-me/list?title_no=3235;Supernatural;103191;1500000;2
Magic Soda Pop;https://www.webtoons.com/en/supernatural/magic-soda-pop/list?title_no=1947;Supernatural;148897;4900000;1
Jackie Rose;https://www.webtoons.com/en/supernatural/jackie-rose/list?title_no=613;Supernatural;59617;3900000;1
S.I.D.;https://www.webtoons.com/en/supernatural/sid/list?title_no=497;Supernatural;292690;27300000;1
Faust;https://www.webtoons.com/en/supernatural/faust/list?title_no=522;Supernatural;84874;8900000;1
Witch Hunt;https://www.webtoons.com/en/supernatural/witch-hunt/list?title_no=363;Supernatural;266484;20000000;1
Firebrand;https://www.webtoons.com/en/supernatural/firebrand/list?title_no=877;Supernatural;167063;4900000;2
Spirits;https://www.webtoons.com/en/fantasy/spirits-re/list?title_no=1348;Fantasy;57974;1600000;2
Acursian;https://www.webtoons.com/en/supernatural/acursian/list?title_no=1452;Supernatural;56762;555601;2
Dreaming Freedom;https://www.webtoons.com/en/drama/dreaming-freedom/list?title_no=4180;Drama;169573;3900000;1
AntiSTALKER;https://www.webtoons.com/en/romance/antistalker/list?title_no=2087;Romance;650405;43000000;1
Third Shift Society;https://www.webtoons.com/en/supernatural/third-shift-society/list?title_no=1703;Supernatural;422059;11500000;1
Clinic of Horrors;https://www.webtoons.com/en/supernatural/clinic-of-horrors/list?title_no=3414;Supernatural;825394;65400000;2
Royale;https://www.webtoons.com/en/mystery/royale/list?title_no=2748;Mystery;38026;528767;2
Of Swamp & Sea;https://www.webtoons.com/en/supernatural/of-swamp-and-sea/list?title_no=2736;Supernatural;186550;5000000;1
Homesick;https://www.webtoons.com/en/thriller/homesick/list?title_no=2759;Thriller;1100000;60500000;1
Rooftops & Roommates;https://www.webtoons.com/en/comedy/rooftops-and-roommates/list?title_no=2576;Comedy;431319;29800000;1
Shiloh;https://www.webtoons.com/en/thriller/shiloh/list?title_no=1649;Thriller;394470;14000000;2
The Red King;https://www.webtoons.com/en/supernatural/the-red-king/list?title_no=1687;Supernatural;817227;26700000;1
Lalin's Curse;https://www.webtoons.com/en/supernatural/lalins-curse/list?title_no=1601;Supernatural;822381;30700000;1
Trash Belongs in the Trash Can!;https://www.webtoons.com/en/romance/trash-belongs-in-the-trash-can/list?title_no=4314;Romance;432731;7000000;1
Purple Hyacinth;https://www.webtoons.com/en/mystery/purple-hyacinth/list?title_no=1621;Mystery;1600000;107700000;2
Zatanna & the Ripper;https://www.webtoons.com/en/fantasy/zatanna-and-the-ripper/list?title_no=4518;Fantasy;186261;1400000;2
Evelyne and the Occult;https://www.webtoons.com/en/supernatural/la-tenebrosa-evelyne/list?title_no=3182;Supernatural;350859;10400000;1
Stagtown;https://www.webtoons.com/en/horror/stagtown/list?title_no=2532;Horror;264840;10400000;1
SOULWINDER;https://www.webtoons.com/en/thriller/soulwinder/list?title_no=2880;Thriller;197369;1300000;2
Chasing Tails;https://www.webtoons.com/en/mystery/chasing-tails/list?title_no=3440;Mystery;219765;6000000;1
Take Me, I'm Yours;https://www.webtoons.com/en/drama/take-me-im-yours/list?title_no=2833;Drama;250283;6200000;2
Escape Room;https://www.webtoons.com/en/thriller/escape-room/list?title_no=1815;Thriller;448734;25400000;1
Disconnected from Reality;https://www.webtoons.com/en/thriller/disconnected-from-reality/list?title_no=4182;Thriller;103361;1600000;2
Ghost on the Roof;https://www.webtoons.com/en/drama/ghost-on-the-roof/list?title_no=2872;Drama;93594;1200000;1
Betwixt;https://www.webtoons.com/en/mystery/betwixt/list?title_no=2962;Mystery;80989;873939;1
Nonesuch;https://www.webtoons.com/en/mystery/nonesuch/list?title_no=3606;Mystery;36104;598852;1
Locker & Opener;https://www.webtoons.com/en/mystery/locker-opener/list?title_no=2515;Mystery;163490;3400000;3
Dr. Frost;https://www.webtoons.com/en/mystery/dr-frost/list?title_no=371;Mystery;400440;39200000;1
Do You Remember;https://www.webtoons.com/en/mystery/do-you-remember/list?title_no=2882;Mystery;42725;685103;1
PIGPEN;https://www.webtoons.com/en/thriller/pigpen/list?title_no=2275;Thriller;364214;15500000;2
Fake Humans;https://www.webtoons.com/en/thriller/fake-humans/list?title_no=3452;Thriller;124890;2000000;3
The Wolfman of Wulvershire;https://www.webtoons.com/en/mystery/the-wolfman-of-wulvershire/list?title_no=1784;Mystery;362231;15600000;1
Rotten;https://www.webtoons.com/en/thriller/rotten/list?title_no=2134;Thriller;421654;12800000;1
Delusion;https://www.webtoons.com/en/thriller/delusion/list?title_no=2470;Thriller;255101;8800000;1
Garden Club Detective Squad;https://www.webtoons.com/en/mystery/garden-club-detective-squad/list?title_no=2410;Mystery;195406;5600000;1
Grasp;https://www.webtoons.com/en/thriller/grasp/list?title_no=2854;Thriller;99635;2200000;1
Epilogue;https://www.webtoons.com/en/thriller/epilogue/list?title_no=2610;Thriller;74642;1400000;1
FINALITY;https://www.webtoons.com/en/mystery/finality/list?title_no=1457;Mystery;32251;332360;2
Varsity Noir;https://www.webtoons.com/en/mystery/varsity-noir/list?title_no=1613;Mystery;53019;1300000;1
Third Shift Society;https://www.webtoons.com/en/supernatural/third-shift-society/list?title_no=1703;Supernatural;422059;11500000;1
Royale;https://www.webtoons.com/en/mystery/royale/list?title_no=2748;Mystery;38026;528767;2
Parallel City;https://www.webtoons.com/en/mystery/parallelcity/list?title_no=2053;Mystery;415304;19600000;1
